"player_id","first_name","last_name","is_active"
"306","Steve","Colter","0"
"308","Derrick","Alston","0"
"310","Bobby","Hurley","0"
"313","Vern","Fleming","0"
"316","Richard","Manning","0"
"317","John","Starks","0"
"320","Jamie","Watson","0"
"321","Scott","Haskin","0"
"323","Greg","Foster","0"
"324","Anthony","Peeler","0"
"328","Rick","Mahorn","0"
"330","Danny","Manning","0"
"333","Kevin","Gamble","0"
"335","Willie","Anderson","0"
"339","Tom","Gugliotta","0"
"340","Kevin","Pritchard","0"
"341","Joe","Wolf","0"
"342","Andy","Toolson","0"
"344","Dana","Barros","0"
"345","Terry","Porter","0"
"346","Doug","Edwards","0"
"348","Mitchell","Butler","0"
"349","Mark","Jackson","0"
"351","Stacey","King","0"
"353","Darrell","Armstrong","0"
"355","Vincent","Askew","0"
"356","Chris","Morris","0"
"357","Greg","Sutton","0"
"358","Anfernee","Hardaway","0"
"359","Chucky","Brown","0"
"361","Clifford","Robinson","0"
"363","Christian","Laettner","0"
"364","Rex","Chapman","0"
"365","Derrick","McKey","0"
"368","Dwayne","Schintzius","0"
"369","Charlie","Ward","0"
"371","Terry","Mills","0"
"375","Isaiah","Rider","0"
"376","Eric","Montross","0"
"378","Craig","Ehlo","0"
"380","Tony","Smith","0"
"381","James","Robinson","0"
"383","Kendall","Gill","0"
"384","Calbert","Cheaney","0"
"386","Elliot","Perry","0"
"389","Toni","Kukoc","0"
"390","Sasha","Danilovic","0"
"393","Rod","Strickland","0"
"397","Reggie","Miller","0"
"399","Sean","Rooks","0"
"400","Derek","Strong","0"
"402","Jon","Koncak","0"
"404","Kevin","Duckworth","0"
"406","Shaquille","O'Neal","0"
"412","Sharone","Wright","0"
"416","Willie","Burton","0"
"417","Sam","Mitchell","0"
"418","Scott","Brooks","0"
"420","Jayson","Williams","0"
"422","Avery","Johnson","0"
"423","Chris","Gatling","0"
"426","Terry","Davis","0"
"428","Sherman","Douglas","0"
"431","Shawn","Kemp","0"
"432","Pete","Chilcutt","0"
"433","Buck","Williams","0"
"434","Tony","Dumas","0"
"435","Carlos","Rogers","0"
"436","Juwan","Howard","0"
"438","Robert","Werdann","0"
"440","Zan","Tabak","0"
"441","Lamond","Murray","0"
"442","Pervis","Ellison","0"
"445","Wesley","Person","0"
