"player_id","season","team_drafted_to_id","round_number","round_pick","overall_pick_number"
"289",1988,"1610612764",2,11,36
"291",1985,"1610612756",1,10,10
"292",1994,"1610612744",2,12,39
"293",1988,"1610612755",1,3,3
"296",1991,"1610612738",1,24,24
"297",1992,"1610612766",1,2,2
"299",1994,"1610612749",1,1,1
"302",1989,"1610612751",1,12,12
"304",1984,"1610612762",1,16,16
"305",1976,"1610612744",1,8,8
"306",1984,"1610612757",2,9,33
"308",1994,"1610612755",2,6,33
"310",1993,"1610612758",1,7,7
"313",1984,"1610612754",1,18,18
"316",1993,"1610612737",2,13,40
"320",1994,"1610612762",2,20,47
"321",1993,"1610612754",1,14,14
"323",1990,"1610612764",2,8,35
"324",1992,"1610612747",1,15,15
"328",1980,"1610612764",2,12,35
"330",1988,"1610612746",1,1,1
"333",1987,"1610612757",3,17,63
"335",1988,"1610612759",1,10,10
"339",1992,"1610612764",1,6,6
"340",1990,"1610612744",2,7,34
"341",1987,"1610612746",1,13,13
"344",1989,"1610612760",1,16,16
"345",1985,"1610612757",1,24,24
"346",1993,"1610612737",1,15,15
"349",1987,"1610612752",1,18,18
"351",1989,"1610612741",1,6,6
"355",1987,"1610612755",2,16,39
"356",1988,"1610612751",1,4,4
"357",1991,"1610612759",2,22,49
"358",1993,"1610612744",1,3,3
"359",1989,"1610612739",2,16,43
"361",1989,"1610612757",2,9,36
"363",1992,"1610612750",1,3,3
"364",1988,"1610612766",1,8,8
"365",1987,"1610612760",1,9,9
"368",1990,"1610612759",1,24,24
"369",1994,"1610612752",1,26,26
"371",1990,"1610612749",1,16,16
"375",1993,"1610612750",1,5,5
"376",1994,"1610612738",1,9,9
"378",1983,"1610612745",3,1,48
"380",1990,"1610612747",2,24,51
"381",1993,"1610612757",1,21,21
"383",1990,"1610612766",1,5,5
"384",1993,"1610612764",1,6,6
"386",1991,"1610612746",2,10,37
"389",1990,"1610612741",2,2,29
"390",1992,"1610612744",2,16,43
"393",1988,"1610612752",1,19,19
"397",1987,"1610612754",1,11,11
"399",1992,"1610612742",2,3,30
"400",1990,"1610612755",2,20,47
"402",1985,"1610612737",1,5,5
"404",1986,"1610612759",2,9,33
"406",1992,"1610612753",1,1,1
"412",1994,"1610612755",1,6,6
"416",1990,"1610612748",1,9,9
"417",1985,"1610612745",3,7,54
"420",1990,"1610612756",1,21,21
"423",1991,"1610612744",1,16,16
"428",1989,"1610612748",2,1,28
"431",1989,"1610612760",1,17,17
"432",1991,"1610612758",1,27,27
"433",1981,"1610612751",1,3,3
"434",1994,"1610612742",1,19,19
"435",1994,"1610612760",1,11,11
"436",1994,"1610612764",1,5,5
"438",1992,"1610612743",2,19,46
"440",1991,"1610612745",2,24,51
"441",1994,"1610612746",1,7,7
"442",1989,"1610612758",1,1,1
"445",1994,"1610612756",1,23,23
"446",1993,"1610612742",2,1,28
"452",1993,"1610612749",1,8,8
"456",1986,"1610612754",1,4,4
"457",1988,"1610612756",2,3,28
"458",1994,"1610612750",2,3,30
"461",1992,"1610612745",2,14,41
"462",1989,"1610612766",1,5,5
"467",1994,"1610612742",1,2,2
"468",1992,"1610612738",1,21,21
"469",1993,"1610612742",1,4,4
"470",1983,"1610612737",2,7,31
"474",1990,"1610612739",2,25,52
"475",1991,"1610612742",1,6,6
"671",1995,"1610612737",2,13,42
"673",1995,"1610612737",1,16,16
"675",1995,"1610612738",2,4,33
"677",1995,"1610612738",1,14,14
"678",1995,"1610612766",1,22,22
"679",1995,"1610612741",1,20,20
"681",1995,"1610612739",2,10,39
"682",1995,"1610612739",1,17,17
"683",1987,"1610612744",3,12,58
"684",1995,"1610612742",1,24,24
"685",1995,"1610612742",1,12,12
"686",1995,"1610612746",1,2,2
"689",1995,"1610612765",1,18,18
"690",1995,"1610612765",2,29,58
"691",1995,"1610612765",2,1,30
"692",1995,"1610612744",2,5,34
"693",1995,"1610612744",1,1,1
"696",1995,"1610612754",1,23,23
"697",1995,"1610612754",2,23,52
"698",1981,"1610612758",2,6,29
"699",1995,"1610612743",1,15,15
"701",1995,"1610612747",2,8,37
"702",1994,"1610612749",2,19,46
"703",1995,"1610612748",1,10,10
"704",1995,"1610612757",1,8,8
"705",1988,"1610612739",1,22,22
"706",1995,"1610612750",2,20,49
"707",1995,"1610612750",2,19,48
"708",1995,"1610612750",1,5,5
"709",1995,"1610612751",1,9,9
"710",1995,"1610612753",1,25,25
"711",1995,"1610612755",1,3,3
"712",1995,"1610612756",1,27,27
"713",1995,"1610612756",2,27,56
"714",1995,"1610612756",1,21,21
"716",1990,"1610612737",1,10,10
"717",1985,"1610612737",4,7,77
"717",1986,"1610612757",1,24,24
"718",1995,"1610612749",1,11,11
"719",1995,"1610612765",1,19,19
"720",1995,"1610612764",2,3,32
"721",1995,"1610612758",2,18,47
"722",1995,"1610612758",1,13,13
"724",1995,"1610612759",1,29,29
"726",1995,"1610612760",1,26,26
"727",1995,"1610612749",2,14,43
"728",1995,"1610612761",2,6,35
"729",1995,"1610612744",2,21,50
"730",1995,"1610612744",2,11,40
"731",1995,"1610612762",1,28,28
"733",1995,"1610612737",2,28,57
"734",1995,"1610612763",2,7,36
"735",1995,"1610612763",1,6,6
"737",1987,"1610612749",2,9,32
"738",1984,"1610612752",4,17,87
"739",1995,"1610612764",1,4,4
"753",1991,"1610612758",2,4,31
