"player_id","season","wingspan","standing_reach","hand_width","hand_length","bench_press","standing_vertical_leap","three_quarter_sprint"
"202382",2010,"84.25","107.5","10.25","9","22","25","3.61"
"202395",2010,"74.5","94","9.5","8.5",NULL,"27.5","3.24"
"202399",2009,"86","107.5",NULL,NULL,"16","27.5","3.32"
"202412",2010,"79.25","102","9","8.5","11",NULL,NULL
"202681",2011,"76","99","9.25","8.25",NULL,NULL,NULL
"202682",2011,"85.5","108","9.75","9","19","29","3.23"
"202683",2011,"85.5","109.5","10.75","9.5","14","26","3.26"
"202684",2011,"85.25","108.5","9.25","8.75","9","30","3.26"
"202688",2011,"78.75","98.5","9.5","8.25","10","29","3.07"
"202689",2011,"75.5","91.5","9","8","7","32","3.16"
"202691",2011,"81","103.5","9.25","8.75","5","26.5","3.24"
"202692",2011,"82","103.5","8.25","9","5","29","3.17"
"202693",2011,"82.75","106.5","8.25","8.5","11","27","3.4"
"202694",2011,"82","105.5","8.5","8.25","11","29","3.15"
"202695",2011,"87","106","11.25","9.75","3","25.5","3.15"
"202696",2011,"88.5","112.5","10.25","9.25","8","23.5","3.27"
"202697",2011,"81.5","99.5","9","9","18","36.5","3.18"
"202698",2011,"85","103.5","10","9.25","15","30.5","3.09"
"202699",2011,"83","103.5","9","8.75","12","31.5","3.17"
"202701",2011,"77.5","99","9.25","8.5","9","28.5","3.17"
"202702",2011,"84","108","10.25","8.5","16","30.5","3.26"
"202705",2011,"85","101","10.5","9","5","34","3.09"
"202706",2011,"81.5","104","9.25","9","7","25","3.3"
"202707",2011,"86","107.5","10","9","15","33.5","3.14"
"202708",2011,"74.25","95.5","9.5","8.5","11","29.5","3.22"
"202709",2011,"77.5","99","10.5","8.5","5","27.5","3.27"
"202710",2011,"79.5","101.5","9","9","14","32","3.15"
"202712",2011,"83.75","106","9.25","9","19","28.5","3.3"
"202713",2011,"82.1","106","8.75","8.25","10","23","3.21"
"202714",2011,"79.5","96.5","9.25","8.25","17","32","3.18"
"202715",2011,"81","105","9.5","8.5",NULL,"30","3.07"
"202716",2011,"84.25","106.5","10","9.25","10","25","3.45"
"202717",2011,"85","107.5","9.75","9.25","15","27.5","3.41"
"202718",2011,"81.5","104.5","10","8.25","4","25.5","3.29"
"202719",2011,"89","110.5","9","9.25","10","28","3.29"
"202720",2011,"84","105.5","9.75","8.75","14","29.5","3.36"
"202721",2011,"79.5","102","10","8.75","12","24.5","3.2"
"202723",2011,"81.75","101.5","9.5","8.5","17","30","3.09"
"202724",2011,"79.5","96.5","9","8.5","16","29.5","3.18"
"202726",2011,"76.25","96.5","9.25","8.25","4","32.5","3.1"
"202727",2011,"82.5","103","9.25","8.75","10","33","3.13"
"202728",2011,"87.75","109.5","11","9.5","12","31.5","3.35"
"202729",2011,"77.25","98","9","8.5","5","29.5","3.2"
"202732",2011,"83","103.5","10","8.75","6","27","3.33"
"202734",2011,"81.5","99.5","10","9",NULL,"32","3.31"
"202738",2011,"73.75","91.5","9","8.25","13","31.5","3.14"
"203076",2012,"89.5","108","8.5","9",NULL,NULL,NULL
"203077",2012,"84","104.5","10.25","9","6","32","3.18"
"203078",2012,"80","100","9","8.5","8","33","3.28"
"203079",2012,"79.25","98","9.5","8.5",NULL,NULL,NULL
"203080",2012,"87.25","106","10.5","9.75","15","28.5","3.17"
"203081",2012,"79.75","95.5","9.75","8.75","13","34.5","3.34"
"203082",2012,"79.25","100.5","10.25","8.75","2","31","3.28"
"203083",2012,"90.25","109.5","9.5","9.5","10","31.5","3.39"
"203084",2012,"83.25","101.5","8.5","9","15","38","3.16"
"203085",2012,"79.25","96.5","10","8.5","1","32.5","3.32"
"203086",2012,"87","108","11","9.25","19","30","3.41"
"203087",2012,"83","102","9.25","8.75","5","31.5","3.25"
"203088",2012,"77.5","96","9","8.5",NULL,"31","3.23"
"203089",2012,"89","112","10","9.25","5","25.5",NULL
"203090",2012,"84","102.5","10.25","9.25","5","32.5","3.25"
"203091",2012,"84","104.5","11.5","9.5",NULL,NULL,NULL
"203092",2012,"84","104.5","9.75","9","16","30","3.4"
"203093",2012,"86.25","107","10","9","12","29.5","3.4"
"203094",2012,"88","107","10.75","10","10","28.5","3.67"
"203096",2012,"85.25","105.5","9.75","9.25","9","29.5","3.81"
"203097",2012,"86.5","110","10","9","9","29.5","3.44"
"203098",2012,"80.5","98","9","9","10","30.5","3.37"
"203099",2012,"78.5","98","9","8.25","4",NULL,NULL
"203100",2012,"81","101","9","8","0","30","3.24"
"203101",2012,"84.75","105.5","9","9.25","15","34","3.36"
"203102",2012,"86.25","106.5","9.25","9.25","10","33.5","3.22"
"203103",2012,"85.75","107","9.5","9.25","11","33","3.19"
"203104",2012,"79.25","96.5","7.75","8.25","8","32.5","3.19"
"203105",2012,"89.75","108","10.75","9","18","34","3.29"
"203106",2012,"78.25","101.5","9.75","8.25","15","33.5","3.29"
"203107",2012,"79.25","100","9.5","8.5",NULL,NULL,NULL
"203108",2012,"87","108.5","9.25","9","6","30","3.4"
"203109",2012,"81.25","99.5","10.5","9.5","20","31","3.37"
"203110",2012,"85.25","105","9.5","9","9","28","3.4"
"203111",2012,"83.25","99","9.5","9","13","32","3.25"
"203112",2012,"86.75","106.5","11","9.5","13","32","3.28"
"203113",2012,"85.25","105","10.25","9.25","8","30.5","3.48"
"203114",2012,"82.75","103","9","9","4","28","3.47"
"203115",2012,"81.75","102.5","9.5","9","0","30","3.6"
"203116",2012,"78.25","97.5","8.75","8.75","0","32","3.2"
"203117",2012,"78.75","98.5","8.75","8.5","2","29","3.41"
"203118",2012,"82.75","104","9","8.5","14","27","3.44"
"203119",2012,"78.5","98","8.75","8.5",NULL,"29","3.33"
"203121",2012,"81","101","8.75","8.5","14","33","3.31"
"203122",2012,"78.75","99","8.5","8.5","11","31","3.42"
"203124",2012,"88.75","106.5","10","9.5",NULL,"31.5","3.53"
"203126",2012,"83","104","9","9","6","28.5","3.46"
"203130",2012,"79","96","8.75","8.75","17","33.5","3.21"
"203133",2012,"80.5","102","9.5","8.5","13","27.5","3.41"
